Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,33,3070,2290,1565,215,519,0,261,925,3,3
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java,33,3070,2290,1565,215,519,0,261,925,3,3
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn,33,3070,2290,1565,215,519,0,261,925,3,3
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com,33,3070,2290,1565,215,519,0,261,925,3,3
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro,33,3070,2290,1565,215,519,0,261,925,3,3
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\controller,7,983,723,536,68,100,0,160,617,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\dao,10,619,476,300,49,111,0,32,78,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\form,3,202,141,96,17,46,0,15,32,3,3
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\model,12,1200,904,601,76,245,0,51,190,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\service,1,66,46,32,5,17,0,3,8,0,0
